[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36579] pstFrameInfo->nFrameNum[36582]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36582] pstFrameInfo->nFrameNum[36585]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36585] pstFrameInfo->nFrameNum[36587]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36587] pstFrameInfo->nFrameNum[36589]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36589] pstFrameInfo->nFrameNum[36592]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36592] pstFrameInfo->nFrameNum[36594]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36594] pstFrameInfo->nFrameNum[36597]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36597] pstFrameInfo->nFrameNum[36599]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36599] pstFrameInfo->nFrameNum[36602]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36602] pstFrameInfo->nFrameNum[36604]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36604] pstFrameInfo->nFrameNum[36606]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36606] pstFrameInfo->nFrameNum[36609]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36609] pstFrameInfo->nFrameNum[36611]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36611] pstFrameInfo->nFrameNum[36614]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36614] pstFrameInfo->nFrameNum[36616]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L0541: nFrameNum[36616] pstFrameInfo->nFrameNum[36618]
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
[2020-01-06 21:20:48] |    StreamProcess.cpp-L1471: delete one DataNode
